SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,8100 Cambridge #10,Houston,TX,77054,175000,2,1.0,Cambridge Glen Condo Pho1,1140,89396,1980,10,154,365,Active,,,https://www.redfin.com/TX/Houston/8100-Cambridge-St-77054/unit-10/home/30448533,HARMLS,26861218,N,Y,29.6877589,-95.394436
MLS Listing,,Single Family Residential,4414 Caplin St,Houston,TX,77026,165000,3,1.0,Kashmere Gardens Ext,1160,6360,1957,10,142,,Active,,,https://www.redfin.com/TX/Houston/4414-Caplin-St-77026/home/29938705,HARMLS,86241181,N,Y,29.8152773,-95.3249897
MLS Listing,,Single Family Residential,5959 Pershing St,Houston,TX,77033,119900,3,1.0,Southcrest Sec 05,1278,7626,1950,10,94,,Active,,,https://www.redfin.com/TX/Houston/5959-Pershing-St-77033/home/30027197,HARMLS,28311094,N,Y,29.6758522,-95.3295024
MLS Listing,,Condo/Co-op,1400 Hermann Dr Unit 15C,Houston,TX,77004,220000,1,1.0,Hermann Condo Amd,933,74637,1957,10,236,1212,Active,,,https://www.redfin.com/TX/Houston/1400-Hermann-Dr-77004/unit-15C/home/30372977,HARMLS,15126162,N,Y,29.7224448,-95.3868057
MLS Listing,,Condo/Co-op,7900 N Stadium Dr #126,Houston,TX,77030,107000,1,1.0,Briar Green Condo Ph 01,729,230940,1979,11,147,345,Active,,,https://www.redfin.com/TX/Houston/7900-N-Stadium-Dr-77030/unit-126/home/30458236,HARMLS,84184561,N,Y,29.6960567,-95.4091009
MLS Listing,,Condo/Co-op,7575 Kirby Dr #2318,Houston,TX,77030,219900,1,1.0,7575 Kirby,1024,,2003,11,215,370,Active,,,https://www.redfin.com/TX/Houston/7575-Kirby-Dr-77030/unit-2318/home/29298761,HARMLS,98586471,N,Y,29.6986135,-95.4178054
MLS Listing,,Condo/Co-op,606 Marshall St Unit B13,Houston,TX,77006,162000,1,1.0,Montrose Place T/h Condo,600,28936,1970,11,270,350,Active,,,https://www.redfin.com/TX/Houston/606-Marshall-St-77006/unit-B13/home/30449644,HARMLS,42165661,N,Y,29.739815,-95.3867362
MLS Listing,,Single Family Residential,5511 Hershe St,Houston,TX,77020,182500,2,1.0,Mims,1184,4410,1945,11,154,,Active,,,https://www.redfin.com/TX/Houston/5511-Hershe-St-77020/home/112794353,HARMLS,9301247,N,Y,29.7785249,-95.3152919
MLS Listing,,Single Family Residential,419 De Haven St,Houston,TX,77029,205000,3,2.0,Fidelity,1600,5000,1940,11,128,,Active,,,https://www.redfin.com/TX/Houston/419-De-Haven-St-77029/home/29671632,HARMLS,6530957,N,Y,29.739761,-95.2545487
MLS Listing,,Condo/Co-op,5625 Antoine Dr #1305,Houston,TX,77091,75000,2,2.0,Oakwood Gardens Condo,1134,398376,1972,11,66,465,Active,,,https://www.redfin.com/TX/Houston/5625-Antoine-Dr-77091/unit-1305/home/29637951,HARMLS,27730219,N,Y,29.8482983,-95.47517
MLS Listing,,Condo/Co-op,5625 Antoine Dr #102,Houston,TX,77091,55000,1,1.0,Oakwood Gardens Condo Llc,725,398376,1972,11,76,465,Active,,,https://www.redfin.com/TX/Houston/5625-Antoine-Dr-77091/unit-102/home/29638132,HARMLS,5064219,N,Y,29.8482983,-95.47517
MLS Listing,,Single Family Residential,5301 Salina St,Houston,TX,77026,165000,3,1.0,Benny Brown,912,3600,1955,12,181,,Active,,,https://www.redfin.com/TX/Houston/5301-Salina-St-77026/home/29857635,HARMLS,97610736,N,Y,29.7918779,-95.3174933
MLS Listing,,Single Family Residential,1415 Teanaway Ln,Houston,TX,77029,197500,3,1.0,Pleasantville Sec 02,1180,5832,1950,12,167,,Active,,,https://www.redfin.com/TX/Houston/1415-Teanaway-Ln-77029/home/30037554,HARMLS,32748166,N,Y,29.7654744,-95.2766475
